athleteName;swissAthleticsDBId
Xavier Fischer;CONTACT.WEB.152121
Cedric Stiefvater;CONTACT.WEB.152127
Jan Hausheer;CONTACT.WEB.153132
Marc Hausheer;CONTACT.WEB.150372
Manuel Hiltbrunner;CONTACT.WEB.152123
Andy Jossi;CONTACT.WEB.152124
Matteo Lüthi;CONTACT.WEB.148201
Jonas Schlatter;CONTACT.WEB.152126
Dario Lauener;a21aa-ykp7tt-jugbdsd0-1-jvjjsht9-6o31
Matteo Brandt;a21aa-ykp7tt-jugbdsd0-1-jvjjojc6-6o1w
Hannes Otth;CONTACT.WEB.153137
Jan Richert;a21aa-ykp7tt-jugbdsd0-1-jvjk2m1v-6o50
Jan Egger;CONTACT.WEB.155768
Morris Mathys;a21aa-ykp7tt-jugbdsd0-1-jvjjutln-6o35
Silvan Schlatter;CONTACT.WEB.157490
Nik Steuri;a21aa-ykp7tt-jugbdsd0-1-jvjkalvr-6o6s
Jari Abegglen;CONTACT.WEB.157497
Dominic Hurni;CONTACT.WEB.157486
Matti Vögeli;a21aa-ykp7tt-jugbdsd0-1-jvjkcvkx-6o74
Andreas Ruchti;a21aa-ykp7tt-jugbdsd0-1-jvjk5crv-6o5w
Dominic Steiner;CONTACT.WEB.157625
Ned O'Brien;a21aa-ykp7tt-jugbdsd0-1-jvjjx7m4-6o39
Gregor Otth;a21aa-ykp7tt-jugbdsd0-1-jvjjzoqr-6o3z
