athleteName;swissAthleticsDBId
Lea Studer;CONTACT.WEB.153133
Ladina Reist;CONTACT.WEB.152133
Jody Hackney;CONTACT.WEB.152130
Aline Härri;CONTACT.WEB.152131
Livia Haldimann;CONTACT.WEB.157493
Marcia Haldimann;a21aa-51wqrh-jg9njzak-1-jgt0bkhj-4s5k
Lina Esposito;a21aa-ykp7tt-jugbdsd0-1-jvjkhtax-6o7v
Louisa Wong;CONTACT.WEB.155845
Emma Seiler;CONTACT.WEB.153134
Flavia Reist;a21aa-51wqrh-jg9njzak-1-jgt0i5g8-4s70
Alina Marti;a21aa-ykp7tt-jugbdsd0-1-jvjkkgty-6o8l
Alisa Michel;a21aa-ykp7tt-jugbdsd0-1-jvjkodzg-6o9v
Lia Wittwer;a21aa-51wqrh-jg9njzak-1-jgt0mle9-4s8m
Ann Céline Josi;a21aa-ogaf4d-jy7njhbg-1-jz5a0u9y-3cuc
Alisha Beglinger;a21aa-ykp7tt-jugbdsd0-1-jvjkfp4h-6o7i
Lia Müller;a21aa-51wqrh-jg9njzak-1-jgt0duzy-4s64
Elena Zingg;a21aa-ykp7tt-jugbdsd0-1-jvjl0dcn-6oe7
Kim Röthlisberger;a21aa-ykp7tt-jugbdsd0-1-jvjktkh2-6obs
Flurina Schneider;a21aa-ykp7tt-jugbdsd0-1-jvjkvshk-6oci
Leonie Steiner;a21aa-ykp7tt-jugbdsd0-1-jvjkxtrj-6od6
Angela Rüegsegger;CONTACT.WEB.157495
Jasmine Rüegsegger;CONTACT.WEB.157496
